"Longitude","Latitude","Parameter.Name","Date","level"
-75.08083,39.99139,"pm25",2014-01-01,18.5
-75.09778,40.00889,"pm25",2014-01-01,9.4
-76.28333,40.04667,"pm25",2014-01-01,20.9
-82.81552,40.0845,"pm25",2014-01-01,16.1
-108.76139,40.08694,"pm25",2014-01-01,11.8
-74.88222,40.10722,"pm25",2014-01-01,20.7
-75.30917,40.11222,"pm25",2014-01-01,13.8
-85.65218,40.1257,"pm25",2014-01-01,20.1
-79.90222,40.14667,"pm25",2014-01-01,12.3
-122.22714,40.1678,"pm25",2014-01-01,14.4
-80.26139,40.17056,"pm25",2014-01-01,12.2
-77.18675,40.24653,"pm25",2014-01-01,23.5
-76.84699,40.24699,"pm25",2014-01-01,24
-111.66306,40.25361,"pm25",2014-01-01,37.3
-79.50567,40.30469,"pm25",2014-01-01,11.05
-78.915,40.30972,"pm25",2014-01-01,13.9
-76.38345,40.33733,"pm25",2014-01-01,24.4
-111.71361,40.34139,"pm25",2014-01-01,39.2
-80.61558,40.36644,"pm25",2014-01-01,14.9
-75.9686,40.38335,"pm25",2014-01-01,22.4
-86.8525,40.43164,"pm25",2014-01-01,7.8
-80.42083,40.44528,"pm25",2014-01-01,14.8
-78.37083,40.53528,"pm25",2014-01-01,18
-75.34111,40.62806,"pm25",2014-01-01,19.6
-73.82153,40.73614,"pm25",2014-01-01,14
-111.87222,40.73639,"pm25",2014-01-01,61.6
-80.31644,40.7478,"pm25",2014-01-01,8.2
-111.931,40.78422,"pm25",2014-01-01,55
-77.87703,40.81139,"pm25",2014-01-01,12.7
-79.56475,40.81418,"pm25",2014-01-01,14.1
-75.32328,41.08306,"pm25",2014-01-01,10.5
-85.10182,41.09497,"pm25",2014-01-01,14.5
-85.62929,41.16965,"pm25",2014-01-01,12.5
-104.77833,41.18223,"pm25",2014-01-01,0
-111.97552,41.20632,"pm25",2014-01-01,67.6
-80.48478,41.21501,"pm25",2014-01-01,10.1
-95.97314,41.24749,"pm25",2014-01-01,11.9
-91.06796,41.40097,"pm25",2014-01-01,10.6
-75.62306,41.44278,"pm25",2014-01-01,11.8
-81.67845,41.49212,"pm25",2014-01-01,9.9
-71.4237,41.49511,"pm25",2014-01-01,6.7
-90.62404,41.51208,"pm25",2014-01-01,10.4
-90.58761,41.53001,"pm25",2014-01-01,10.05
-109.207,41.575,"pm25",2014-01-01,1.7
-87.47449,41.5855,"pm25",2014-01-01,11.9
-93.64312,41.60316,"pm25",2014-01-01,11.8
-87.30473,41.60668,"pm25",2014-01-01,16.2
-71.72,41.61524,"pm25",2014-01-01,5.8
-87.19925,41.61756,"pm25",2014-01-01,16.1
-85.96837,41.65691,"pm25",2014-01-01,15.7
-91.50348,41.65723,"pm25",2014-01-01,9.3
-71.16924,41.68571,"pm25",2014-01-01,7.8
-86.21468,41.69669,"pm25",2014-01-01,12.8
-111.8375,41.73111,"pm25",2014-01-01,46.2
-107.11918,41.78339,"pm25",2014-01-01,1.2
-71.4151,41.80778,"pm25",2014-01-01,7.25
-90.21198,41.82328,"pm25",2014-01-01,9.7
-71.36077,41.84157,"pm25",2014-01-01,10.3
-90.17757,41.875,"pm25",2014-01-01,10
-91.68766,41.97677,"pm25",2014-01-01,9
-80.03861,42.14175,"pm25",2014-01-01,8.2
-71.11397,42.21177,"pm25",2014-01-01,7.9
-71.79432,42.26396,"pm25",2014-01-01,10
-71.0826,42.3295,"pm25",2014-01-01,6.7
-71.0543,42.3631,"pm25",2014-01-01,6.8
-70.97082,42.47464,"pm25",2014-01-01,8.6
-105.30353,42.76697,"pm25",2014-01-01,1.4
-71.10229,42.77084,"pm25",2014-01-01,8.3
-71.87839,42.86175,"pm25",2014-01-01,7
-71.38017,42.86254,"pm25",2014-01-01,13.1
-109.87076,42.86982,"pm25",2014-01-01,4.4
-72.27239,42.93047,"pm25",2014-01-01,13.1
-112.455,42.97833,"pm25",2014-01-01,12
-70.748,43.07533,"pm25",2014-01-01,6.1
-72.30958,43.62961,"pm25",2014-01-01,5.7
-70.26896,43.66025,"pm25",2014-01-01,18.8
-70.21422,44.08941,"pm25",2014-01-01,21.2
-105.34316,44.09707,"pm25",2014-01-01,3.65
-105.53976,44.50268,"pm25",2014-01-01,3.3
-106.48982,45.36615,"pm25",2014-01-01,5.4
-105.37028,45.44029,"pm25",2014-01-01,3.8
-122.5901,45.64987,"pm25",2014-01-01,13.5
-112.50125,46.0026,"pm25",2014-01-01,16.1
-114.15889,46.24362,"pm25",2014-01-01,9.7
-120.49917,46.59806,"pm25",2014-01-01,25.5
-112.01309,46.65876,"pm25",2014-01-01,2.6
-100.76821,46.82543,"pm25",2014-01-01,3.7
-114.0215,46.84218,"pm25",2014-01-01,9.55
-111.98716,46.8505,"pm25",2014-01-01,0.5
-96.85535,46.93375,"pm25",2014-01-01,3.9
-114.22427,47.01291,"pm25",2014-01-01,6.7
-109.45531,47.04854,"pm25",2014-01-01,2.1
-101.42806,47.18583,"pm25",2014-01-01,4.5
-122.4517,47.1864,"pm25",2014-01-01,14.75
-101.76694,47.29861,"pm25",2014-01-01,6.8
-102.5273,47.3132,"pm25",2014-01-01,4.8
-122.23028,47.38611,"pm25",2014-01-01,16
-120.34195,47.43061,"pm25",2014-01-01,12.3
-122.30863,47.56824,"pm25",2014-01-01,9
-103.2995,47.5812,"pm25",2014-01-01,4.5
-122.6274,47.59267,"pm25",2014-01-01,9.7
-104.48555,47.80339,"pm25",2014-01-01,8.9
-122.3167,47.8064,"pm25",2014-01-01,18.3
-122.17153,48.05432,"pm25",2014-01-01,19.95
-103.63951,48.15278,"pm25",2014-01-01,9.1
-121.6031,48.2469,"pm25",2014-01-01,4.3
-107.86247,48.31751,"pm25",2014-01-01,5.3
-114.18927,48.36369,"pm25",2014-01-01,14.3
-115.55331,48.39155,"pm25",2014-01-01,19.1
-122.61428,48.52059,"pm25",2014-01-01,8.7
-102.4018,48.64193,"pm25",2014-01-01,4.1
-122.44028,48.76278,"pm25",2014-01-01,10.6
-149.03166,61.53416,"pm25",2014-01-01,0.8
-149.45525,61.5988,"pm25",2014-01-01,0.1
-149.10622,61.5989,"pm25",2014-01-01,-1.3
-66.62725,18.00956,"pm25",2014-01-02,2.8
-65.82862,18.15344,"pm25",2014-01-02,2.6
-66.72599,18.17538,"pm25",2014-01-02,1
-66.11446,18.44009,"pm25",2014-01-02,6.25
-80.48278,25.47194,"pm25",2014-01-02,3.9
-80.32639,25.94194,"pm25",2014-01-02,4.2
-80.09647,26.29202,"pm25",2014-01-02,4.1
-80.09278,26.45694,"pm25",2014-01-02,2.9
-81.87791,26.60202,"pm25",2014-01-02,4.2
-80.23389,26.73083,"pm25",2014-01-02,2.7
