"Longitude","Latitude","Parameter.Name","level"
-111.676928,33.629246,"ozone",0.046865
-117.67593,33.63003,"ozone",0.04207
-112.34184,33.63713,"ozone",0.051698
-111.1074,33.6547,"ozone",0.055939
-117.92568,33.67464,"ozone",0.040665
-117.33098,33.67649,"ozone",0.04822
-84.29048,33.68797,"ozone",0.037861
-111.855622,33.706328,"ozone",0.053263
-116.21537,33.70853,"ozone",0.05058
-111.67183,33.71881,"ozone",0.053294
-84.357056,33.720192,"ozone",0.041988
-81.853635,33.739963,"ozone",0.029534
-115.8206,33.7411,"ozone",0.052558
-84.779192,33.743656,"ozone",0.039029
-90.723028,33.746056,"ozone",0.044155
-117.22764,33.78942,"ozone",0.051707
-86.9425,33.801667,"ozone",0.043576
-118.22,33.8025,"ozone",0.033099
-80.781135,33.81468,"ozone",0.031194
-112.01739,33.82169,"ozone",0.056408
-118.18921,33.82376,"ozone",0.039881
-117.93845,33.83062,"ozone",0.038403
-116.54101,33.85275,"ozone",0.056686
-97.275896,33.880812,"ozone",0.048089
-118.205,33.901389,"ozone",0.039559
-86.053867,33.904039,"ozone",0.038767
-83.344495,33.918067,"ozone",0.03782
-116.85841,33.92086,"ozone",0.05913
-117.95264,33.92513,"ozone",0.036969
-85.04534,33.9285,"ozone",0.040742
-115.4108,33.9397,"ozone",0.050486
-116.83,33.945,"ozone",0.057822
-96.405741,33.945366,"ozone",0.043934
-118.43043,33.9508,"ozone",0.041313
-84.06901,33.96127,"ozone",0.041714
-111.7987,33.9828,"ozone",0.058623
-117.493304,33.995638,"ozone",0.049537
-117.41601,33.99958,"ozone",0.049812
-89.799,34.0026,"ozone",0.037378
-118.06995,34.01194,"ozone",0.037076
-84.607407,34.015482,"ozone",0.042542
-118.45636,34.05111,"ozone",0.040278
-117.14731,34.05977,"ozone",0.056223
-118.22688,34.06659,"ozone",0.036824
-117.7514,34.06703,"ozone",0.044828
-116.390556,34.071389,"ozone",0.056662
-80.962304,34.093959,"ozone",0.033198
-117.49201,34.10002,"ozone",0.053677
-117.62914,34.10374,"ozone",0.047991
-117.27411,34.10688,"ozone",0.050679
-80.868318,34.131262,"ozone",0.040267
-118.1272,34.1326,"ozone",0.044382
-117.92391,34.1365,"ozone",0.04317
-117.85036,34.14435,"ozone",0.048187
-118.31712,34.17605,"ozone",0.046193
-93.0988,34.1795,"ozone",0.039487
-118.53276,34.19925,"ozone",0.0502
-118.869444,34.208244,"ozone",0.043835
-98.03544,34.226639,"ozone",0.0475
-113.58,34.2319,"ozone",0.053495
-117.27235,34.2431,"ozone",0.056326
-119.142504,34.25324,"ozone",0.039105
-88.766222,34.264917,"ozone",0.041269
-118.684731,34.275736,"ozone",0.0487046666666667
-79.744859,34.285696,"ozone",0.038327
-85.9698,34.2888,"ozone",0.042367
-82.386376,34.325318,"ozone",0.036455
-77.838611,34.364167,"ozone",0.038207
-84.059766,34.376317,"ozone",0.038963
-118.5284,34.38344,"ozone",0.054403
-119.4575,34.402778,"ozone",0.045925
-118.810003,34.402846,"ozone",0.047061
-117.285597,34.418073,"ozone",0.049762
-117.563939,34.426126,"ozone",0.055925
-119.691218,34.427775,"ozone",0.036091
-119.8284,34.44551,"ozone",0.038482
-119.230277,34.446571,"ozone",0.047039
-94.143316,34.454406,"ozone",0.044967
-120.02551,34.46245,"ozone",0.038521
-85.408003,34.474293,"ozone",0.038992
-120.04692,34.48974,"ozone",0.040124
-117.331433,34.510014,"ozone",0.055536
-86.976939,34.518735,"ozone",0.041805
-120.1965,34.52744,"ozone",0.035721
-119.79146,34.54166,"ozone",0.043571
-112.4761,34.5467,"ozone",0.049033
-120.630278,34.596111,"ozone",0.039795
-120.075069,34.605819,"ozone",0.034794
-80.198787,34.615367,"ozone",0.038329
-82.532059,34.623236,"ozone",0.038585
-98.42879,34.63298,"ozone",0.046364
-120.4575,34.63782,"ozone",0.037069
-82.838659,34.653606,"ozone",0.039294
-118.131456,34.671394,"ozone",0.052997
-92.328697,34.681343,"ozone",0.040076
-86.58637,34.68767,"ozone",0.044536
-120.427778,34.725556,"ozone",0.043109
-82.256701,34.751848,"ozone",0.041343
-92.281296,34.756189,"ozone",0.040697
-87.650562,34.758781,"ozone",0.039033
-86.756174,34.772727,"ozone",0.043086
-84.626422,34.785197,"ozone",0.041562
-83.2377,34.805261,"ozone",0.037877
-106.7396,34.8147,"ozone",0.047229
-89.98783,34.82166,"ozone",0.042396
-109.891944,34.8225,"ozone",0.050398
-92.260581,34.835721,"ozone",0.042749
-82.744576,34.851537,"ozone",0.039771
-101.6649,34.8803,"ozone",0.051074
-76.6203,34.8848,"ozone",0.037868
-117.024484,34.895007,"ozone",0.049602
-95.784375,34.90227,"ozone",0.044874
-80.8745,34.9127,"ozone",0.039238
-81.228409,34.935817,"ozone",0.035057
-120.43763,34.949147,"ozone",0.031931
-78.9625,34.968889,"ozone",0.040756
-80.540833,34.973889,"ozone",0.041267
-82.075802,34.988706,"ozone",0.042569
-80.9662,35.0158,"ozone",0.03888
-106.65739,35.01708,"ozone",0.045737
-120.50103,35.03146,"ozone",0.037234
-118.147294,35.050551,"ozone",0.052437
-119.403889,35.054444,"ozone",0.051506
-82.372881,35.057395,"ozone",0.039588
-83.4306,35.0608,"ozone",0.033293
-106.578785,35.0631,"ozone",0.046059
-106.76151,35.06407,"ozone",0.046462
-115.7767,35.1019,"ozone",0.059946
-85.162194,35.102638,"ozone",0.044004
-98.252778,35.111944,"ozone",0.031251
-80.919532,35.113164,"ozone",0.038832
-81.816567,35.130396,"ozone",0.039362
-81.405,35.131389,"ozone",0.041717
-106.5852,35.1343,"ozone",0.045504
-89.850249,35.151699,"ozone",0.043836
-106.69715,35.1539,"ozone",0.047988
-78.728035,35.158686,"ozone",0.038024
-97.473794,35.159649,"ozone",0.044449
-106.50815,35.1852,"ozone",0.045197
-106.613815,35.19324,"ozone",0.047021
-90.193141,35.197288,"ozone",0.041773
-111.652777,35.206111,"ozone",0.052053
-90.019707,35.217501,"ozone",0.042438
-77.568792,35.231459,"ozone",0.038659
-85.181581,35.233476,"ozone",0.042605
-118.789424,35.23668,"ozone",0.052864
-80.785683,35.2401,"ozone",0.042759
-120.669861,35.256577,"ozone",0.033122
-83.79562,35.25793,"ozone",0.046404
-79.8365,35.2632,"ozone",0.038155
-84.946111,35.289379,"ozone",0.042074
